KS012a - Occupation groups,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 11 January 2022],,,,,,,,,,
Population :,All people aged 16 to 74 in employment,,,,,,,,,
Units      :,Persons,,,,,,,,,
Date       :,2001,,,,,,,,,
,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,1. Managers and senior officials,2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,6. Personal service occupations,7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
,,,,,,,,,,
Darlington,E06000005,5978,4188,5415,5422,5270,2998,4461,3839,5422
County Durham,E06000047,23670,18815,24570,23783,25817,14814,17183,27111,27851
Hartlepool,E06000001,3384,2604,3978,3596,4785,2612,3506,4343,4954
Middlesbrough,E06000002,4933,4313,6027,5876,5985,4372,4977,5011,7823
Northumberland,E06000057,18133,13606,17800,16779,17228,11638,10646,13195,17058
Redcar and Cleveland,E06000003,5476,4969,6675,6294,7663,4508,4818,6352,7540
Stockton-on-Tees,E06000004,9513,7806,10199,9262,9055,5535,7136,7752,9646
Gateshead,E08000037,8683,6137,9400,11485,9674,5580,8253,7839,11735
Newcastle upon Tyne,E08000021,11427,14975,13354,13431,9923,7359,9599,7443,13987
North Tyneside,E08000022,10089,8497,11646,12686,9456,6210,7998,7308,9808
South Tyneside,E08000023,5953,4737,7330,8065,8138,4417,5732,6677,7850
Sunderland,E08000024,11747,8390,12902,15024,14269,8211,13686,13416,16474
Blackburn with Darwen,E06000008,6668,4593,5913,6446,6771,4465,3932,7951,6836
Blackpool,E06000009,9229,3436,6294,8567,6969,5525,5520,4840,8693
Cheshire East,E06000049,31737,22245,23267,19641,18680,11554,11260,12468,18291
Cheshire West and Chester,E06000050,24182,18897,19727,17419,15738,9681,12375,13215,18209
Halton,E06000006,5775,3797,5624,6821,5331,3565,5410,6661,7379
Warrington,E06000007,14750,10339,12420,11778,8833,5786,8723,7490,11167
Allerdale,E07000026,5295,3601,4212,4202,6993,2979,3261,5391,5880
Barrow-in-Furness,E07000027,2838,2600,3614,3143,5180,2299,2566,2607,4002
Carlisle,E07000028,5734,3551,5325,5491,6396,3210,4236,6138,6777
Copeland,E07000029,3112,2470,3830,3142,4794,2105,1898,3687,4184
Eden,E07000030,3375,2182,2498,2394,4736,1666,1547,2687,3667
South Lakeland,E07000031,8050,5577,5616,4640,7725,3627,3730,3371,6077
Bolton,E08000001,15739,11166,13936,14624,13568,8520,10250,12682,13930
Bury,E08000002,12725,9073,11670,11689,8698,6089,7242,7617,9044
Manchester,E08000003,15339,19602,18946,17914,11875,10932,12564,11769,23508
Oldham,E08000004,11629,7458,10759,12604,12440,6691,6756,11256,13182
Rochdale,E08000005,11265,7364,10266,11199,10455,6813,6705,10185,12615
Salford,E08000006,10951,8203,11171,13555,9505,7247,7752,8878,12658
Stockport,E08000007,21553,17786,19519,19269,14352,10045,11091,9560,12884
Tameside,E08000008,11466,6677,11187,14031,13063,7277,8178,12495,11880
Trafford,E08000009,16400,14083,15122,14992,8870,6262,8099,6298,9020
Wigan,E08000010,16111,10807,16299,16867,17635,10106,11142,17711,18937
Burnley,E07000117,4565,2954,4360,4101,5157,3126,3252,5619,4964
Chorley,E07000118,7749,5614,6351,5988,6146,3632,3403,4545,5772
Fylde,E07000119,5527,4628,4794,4347,3340,2440,2140,1841,3158
Hyndburn,E07000120,4240,2533,3859,3850,5303,3061,2684,5058,4185
Lancaster,E07000121,6948,6349,7071,6195,7028,5243,5150,4619,7303
Pendle,E07000122,4965,3211,4043,3829,5182,2807,2917,5598,4490
Preston,E07000123,6959,6280,6943,7496,6174,4016,5590,5145,7600
Ribble Valley,E07000124,4735,3565,3388,2885,3652,2011,1472,2190,2509
Rossendale,E07000125,4489,2967,3957,3237,3853,2486,1987,3716,3185
South Ribble,E07000126,7092,5204,6692,7643,6676,3581,4282,4661,5496
West Lancashire,E07000127,7131,5677,6037,5864,5726,3729,3390,5234,6054
Wyre,E07000128,6253,4505,5435,7124,6252,3631,3453,3562,4821
Knowsley,E08000011,5638,3614,6311,7812,6409,4971,5319,6797,7480
Liverpool,E08000012,16164,17888,19953,23272,14818,13277,14278,13628,21539
Sefton,E08000014,16010,12304,16276,18231,12100,9873,11099,8399,12023
St. Helens,E08000013,8547,6403,9255,9379,8739,6078,6493,8069,10113
Wirral,E08000015,16329,14827,18044,17454,13817,10736,10225,11418,13547
East Riding of Yorkshire,E06000011,21856,15182,19133,17733,20476,10349,10555,12344,17230
"Kingston upon Hull, City of",E06000010,8422,6167,10147,10857,14062,7425,9295,12229,17353
North East Lincolnshire,E06000012,6956,4485,7065,7150,8794,4784,5814,10596,10188
North Lincolnshire,E06000013,7879,5437,7469,7485,9567,4743,4760,9702,11041
York,E06000014,12266,10515,11692,10770,9700,6070,8520,6628,11144
Craven,E07000163,4171,3061,3182,2616,4124,1900,1628,1966,3073
Hambleton,E07000164,7286,4949,5968,4691,6249,2743,2349,2745,4910
Harrogate,E07000165,14305,9110,12476,9034,8876,5210,4994,4000,7750
Richmondshire,E07000166,3564,2092,5607,2409,3351,1545,1183,1515,2858
Ryedale,E07000167,3561,2285,2270,2408,4449,1758,1493,2394,3566
Scarborough,E07000168,6397,3773,4874,4492,7029,3608,3983,4164,6656
Selby,E07000169,5989,3539,4521,4642,4913,2510,2868,4204,4699
Barnsley,E08000016,9964,6231,9437,9568,12864,6956,7659,12189,13894
Doncaster,E08000017,14096,8533,13435,13280,15866,9439,11469,13918,18326
Rotherham,E08000018,12635,7749,11572,12918,14036,8247,10627,13288,15417
Sheffield,E08000019,25836,26592,27731,27612,26545,15969,19529,20207,28472
Bradford,E08000032,25664,18009,23250,26525,21563,13957,15951,20628,25703
Calderdale,E08000033,12762,9193,11316,11009,11026,6493,5922,10179,10138
Kirklees,E08000034,24991,17273,21399,20841,21553,11885,13266,20757,22058
Leeds,E08000035,43860,36491,43241,45758,34238,23431,28906,25898,41008
Wakefield,E08000036,17037,10518,16013,16598,16908,9854,11942,16452,22699
Derby,E06000015,11960,9927,12298,11621,11288,6658,8153,10130,13416
Leicester,E06000016,10816,11054,12036,13099,11838,7552,9763,17344,18078
Nottingham,E06000018,11298,11308,12593,12018,10601,6801,9079,10512,17487
Rutland,E06000017,3264,2005,2646,1595,2071,994,892,1230,1869
Amber Valley,E07000032,7941,5195,6118,6143,7810,3298,3578,7358,7216
Bolsover,E07000033,3710,1826,3012,3121,4117,2255,2251,4223,4936
Chesterfield,E07000034,5675,3501,5249,5622,5230,3326,3391,4836,6100
Derbyshire Dales,E07000035,5824,4505,3766,3493,4781,2086,1775,3285,3930
Erewash,E07000036,7207,4401,6022,6473,7512,3307,3933,6810,6815
High Peak,E07000037,6665,5314,5707,4812,5215,3150,2631,4839,5365
North East Derbyshire,E07000038,6542,4124,5358,5851,5973,2980,3329,4711,5570
South Derbyshire,E07000039,6241,4085,4793,4562,5338,2571,2586,4872,4950
Blaby,E07000129,7506,4543,6425,6604,6186,3058,3544,4383,4887
Charnwood,E07000130,10455,8977,8750,9344,9458,4756,5263,7259,9105
Harborough,E07000131,8083,5028,5293,4913,4705,2358,2373,2936,4126
Hinckley and Bosworth,E07000132,8091,4795,6143,6679,6745,3121,3375,5900,6468
Melton,E07000133,3904,2369,2980,2648,3226,1761,1377,2655,3177
North West Leicestershire,E07000134,6775,3977,4837,4692,5372,2770,2748,5068,5680
Oadby and Wigston,E07000135,3845,2805,3444,3974,3150,1689,2280,2456,3008
Boston,E07000136,2853,1435,2467,2497,3538,1862,2013,3737,4664
East Lindsey,E07000137,7948,3797,5751,5232,8259,4521,4100,5458,8367
Lincoln,E07000138,3977,3133,4650,3981,4561,2926,3926,3860,6285
North Kesteven,E07000139,6643,3670,7018,5320,5602,3246,2966,4191,5414
South Holland,E07000140,4751,2231,3150,3859,5207,2217,2305,5570,5719
South Kesteven,E07000141,10058,5614,7430,7155,7749,4185,4642,6254,7973
West Lindsey,E07000142,5136,3391,4457,3962,5192,2808,2431,3631,4506
Corby,E07000150,2555,1233,2185,2793,2897,1383,1804,4707,5192
Daventry,E07000151,7345,4193,4516,4631,4187,2035,1880,3055,5017
East Northamptonshire,E07000152,6746,3737,4420,4501,5269,2582,2248,4000,4892
Kettering,E07000153,6280,3774,4904,4961,5469,3122,2967,4794,5011
Northampton,E07000154,14456,9006,12001,13678,10622,6381,7592,8881,13778
South Northamptonshire,E07000155,8749,4913,5479,5351,5158,2392,2426,3165,4465
Wellingborough,E07000156,5182,2907,3873,4517,4562,2122,2390,4176,5321
Ashfield,E07000170,5699,2658,4840,5754,7377,3388,4062,7569,7602
Bassetlaw,E07000171,6246,3965,5427,4905,5974,3674,3384,5817,6753
Broxtowe,E07000172,7393,6663,6772,6854,5973,2970,3926,4662,6049
Gedling,E07000173,8006,5698,7237,7836,6845,3649,4620,4565,5899
Mansfield,E07000174,4828,2533,4539,4748,5721,3246,3646,5120,6226
Newark and Sherwood,E07000175,7232,4611,5489,5022,6528,3443,3332,5084,6611
Rushcliffe,E07000176,10338,9489,7910,6755,4492,2834,3143,2769,4356
"Herefordshire, County of",E06000019,12447,7932,9306,8608,13125,6034,5792,7486,10559
Shropshire,E06000051,20772,14173,18251,14457,20280,9754,8793,11857,17099
Stoke-on-Trent,E06000021,9653,5394,9543,10449,18847,7414,8822,13417,15278
Telford and Wrekin,E06000020,10281,6731,8815,9266,8871,4377,5565,9786,10688
Cannock Chase,E07000192,5755,2898,4984,5197,6873,3029,3442,5828,5994
East Staffordshire,E07000193,7319,4572,5333,5488,6238,3159,3309,5878,7121
Lichfield,E07000194,8689,5443,6030,5696,5774,2734,2913,4015,4869
Newcastle-under-Lyme,E07000195,7129,5334,6401,6180,7740,3868,4398,6554,7383
South Staffordshire,E07000196,9253,5427,6768,7269,7079,3030,3813,4501,5287
Stafford,E07000197,9406,7219,8370,7454,6676,3820,4021,4699,7096
Staffordshire Moorlands,E07000198,6551,4033,5400,5044,7485,3384,2987,5339,5373
Tamworth,E07000199,5047,2520,4054,4784,4876,2118,3029,4970,5614
North Warwickshire,E07000218,4560,2770,3491,3814,4200,1938,1906,3548,4306
Nuneaton and Bedworth,E07000219,6848,4506,6195,7128,7837,3997,4302,7293,8507
Rugby,E07000220,6792,5060,5569,5596,5046,2709,2749,3677,6086
Stratford-on-Avon,E07000221,11822,7090,7189,6903,6983,3437,3504,3539,6076
Warwick,E07000222,11545,10243,9007,8231,5896,3728,3947,4001,6060
Birmingham,E08000025,43193,42443,45093,51586,41110,25960,28271,39729,49756
Coventry,E08000026,14275,13117,15254,17108,15284,8743,10519,13847,17577
Dudley,E08000027,18645,11775,16076,19598,20400,8710,11784,16972,15975
Sandwell,E08000028,11413,7237,11315,15433,16538,7253,8996,17952,17425
Solihull,E08000029,16822,11691,12096,14892,9546,5478,6894,6741,9240
Walsall,E08000030,13041,7864,10722,13339,16362,7028,7838,14988,14408
Wolverhampton,E08000031,10775,8257,10573,11576,12526,6276,7593,13481,13869
Bromsgrove,E07000234,8308,5801,6153,5654,5074,2958,2467,2982,3954
Malvern Hills,E07000235,6055,4969,4132,3805,4509,2344,1967,2165,3468
Redditch,E07000236,5871,3542,4735,5064,5584,2542,2864,5100,4956
Worcester,E07000237,6935,5399,6031,5873,5160,3032,4049,3750,6774
Wychavon,E07000238,10916,6160,6736,6572,7251,3536,3627,4648,6740
Wyre Forest,E07000239,7348,4125,5558,5373,6608,3423,3380,5584,5762
Bedford,E06000055,11276,9121,9527,9332,7678,4571,5555,5545,7908
Central Bedfordshire,E06000056,22791,13203,16634,16088,14929,7262,7683,10091,12351
Luton,E06000032,10169,6957,9719,11608,10382,5767,6746,10083,10931
Peterborough,E06000031,10293,6703,9648,10285,7995,4937,6580,6760,10094
Southend-on-Sea,E06000033,11186,6965,9985,11939,7693,5084,5524,4640,7161
Thurrock,E06000034,9172,4363,7775,11535,8792,4125,7211,7547,9014
Cambridge,E07000008,6474,13765,6972,5097,3677,2831,2909,2100,5411
East Cambridgeshire,E07000009,6439,4054,4716,4509,5174,2763,2264,3180,4109
Fenland,E07000010,4829,2539,4057,4273,5663,2735,2656,5237,5768
Huntingdonshire,E07000011,14871,8639,12067,11171,9126,5147,5279,7227,8798
South Cambridgeshire,E07000012,12613,11493,10275,8901,7428,4504,3513,4109,6323
Basildon,E07000066,11532,6525,9763,13323,9316,4580,6220,6937,9577
Braintree,E07000067,11220,5653,8660,8870,9156,4864,4434,5761,7474
Brentwood,E07000068,6330,4780,5620,5481,2928,1889,1780,1454,2545
Castle Point,E07000069,6108,2882,4851,7490,5937,2621,3358,3663,4125
Chelmsford,E07000070,14385,9923,12107,12966,8047,4653,5508,4772,7896
Colchester,E07000071,11880,8066,11893,9753,8621,5689,5992,5042,8190
Epping Forest,E07000072,11151,6362,8517,9556,6697,3401,3400,3863,4906
Harlow,E07000073,4910,3176,4897,5763,4790,2530,3130,3986,5642
Maldon,E07000074,5206,3018,3704,3983,4108,1854,1696,2390,2984
Rochford,E07000075,6545,3324,5296,7002,4767,2195,2901,2425,3337
Tendring,E07000076,7886,3897,5975,6605,7649,5433,4418,5011,6768
Uttlesford,E07000077,7542,4369,5300,4337,3937,2237,1993,2053,3277
Broxbourne,E07000095,7164,3252,5488,7365,5821,2655,3464,3540,4733
Dacorum,E07000096,13569,8418,10118,9860,7007,4300,4805,4358,6878
East Hertfordshire,E07000242,13913,9925,10207,9257,6925,4061,3752,3696,5798
Hertsmere,E07000098,9156,5865,6968,7328,4331,2929,3142,2380,3904
North Hertfordshire,E07000099,11027,8704,8192,7412,5861,3637,3700,4281,6000
St Albans,E07000240,15073,12628,10904,8203,4704,3674,3614,2410,4466
Stevenage,E07000243,5585,3777,5435,5602,4609,2680,3562,3095,5231
Three Rivers,E07000102,8798,5382,6235,5817,3875,2438,2688,2029,3303
Watford,E07000103,7122,4908,6567,5975,4201,2574,3438,2516,4347
Welwyn Hatfield,E07000241,8178,5749,6651,6738,4467,2996,3473,2753,5152
Breckland,E07000143,7728,3947,6594,6115,8461,4169,3640,6478,8480
Broadland,E07000144,8808,4834,8012,8194,8164,4294,5088,4288,6282
Great Yarmouth,E07000145,4917,2174,4021,4394,5366,3164,3636,3914,5998
King's Lynn and West Norfolk,E07000146,8046,4367,7162,6396,9099,4606,4195,6952,9374
North Norfolk,E07000147,6018,3220,4975,4156,6931,3486,2956,3670,5999
Norwich,E07000148,5825,6875,7212,5772,5875,3458,5363,4518,8708
South Norfolk,E07000149,8130,5772,6696,6491,7570,3612,3710,4457,6188
Babergh,E07000200,6711,4156,5071,4913,5780,2622,2795,3432,4816
Forest Heath,E07000201,4021,1927,4385,3106,4328,2354,1723,2638,3816
Ipswich,E07000202,6170,5060,6490,7138,6816,3906,5319,5200,7992
Mid Suffolk,E07000203,6997,4351,5532,4973,6028,2836,2627,4271,5014
St Edmundsbury,E07000204,7551,4515,6933,6082,6510,3609,3379,5222,6380
Suffolk Coastal,E07000205,8470,5993,6675,7196,6527,3663,3374,3969,6460
Waveney,E07000206,5439,3616,4931,4878,7240,3830,3839,5397,6831
Camden,E09000007,18515,20229,22176,10255,3794,4292,4441,2050,6116
City of London,E09000001,1019,1344,957,458,66,125,95,50,176
Hackney,E09000012,11120,13336,17015,10265,4991,5108,4954,3703,8734
Hammersmith and Fulham,E09000013,18939,14762,19495,10424,4116,4156,3664,1931,5536
Haringey,E09000014,15518,17720,20300,12638,6157,5602,5575,3782,8440
Islington,E09000019,13623,15706,18356,9841,4293,4087,4029,2804,7116
Kensington and Chelsea,E09000020,22347,13350,17450,7578,2571,3674,3146,1221,4234
Lambeth,E09000022,22689,22228,29304,17491,7477,7723,7495,4076,12253
Lewisham,E09000023,16839,16262,20507,18960,9382,7990,7941,5361,11341
Newham,E09000025,9583,9054,11329,14139,8036,6434,8242,6720,12891
Southwark,E09000028,16409,16963,20497,15613,7133,7382,6387,4539,12945
Tower Hamlets,E09000030,11802,12450,14611,9914,5022,3827,4732,3751,7829
Wandsworth,E09000032,31075,27189,32542,18184,6569,6968,6777,3516,8371
Westminster,E09000033,22503,16985,20092,10262,3389,4258,4028,1761,6194
Barking and Dagenham,E09000002,7012,3783,7074,12363,8626,4620,5642,6860,9884
Barnet,E09000003,29190,27357,25432,21878,9456,8434,9241,5469,9463
Bexley,E09000004,14991,8442,13995,21440,12545,6412,7857,7604,10343
Brent,E09000005,17797,16320,18867,18467,10464,6590,10368,7269,12562
Bromley,E09000006,27740,18826,24003,25177,12245,8223,9570,5847,9866
Croydon,E09000008,25850,19227,25160,28682,14113,10184,12480,7824,13221
Ealing,E09000009,25505,22526,24683,20474,10378,7808,10104,8154,14134
Enfield,E09000010,19657,14832,17925,20413,12174,7895,8788,8181,11392
Greenwich,E09000011,13211,11460,14787,14868,8413,6333,6683,5666,10165
Harrow,E09000015,17466,15480,14855,17607,7688,5210,7844,4709,6900
Havering,E09000016,15060,8033,14210,21728,13099,6167,8027,7911,10302
Hillingdon,E09000017,18752,11958,17793,19898,11604,7390,8994,8402,12253
Hounslow,E09000018,16903,13424,16097,15472,7867,6669,8372,6849,11970
Kingston upon Thames,E09000021,15567,12593,13207,10810,5438,4076,5365,2567,5270
Merton,E09000024,17629,15860,16950,14691,7213,5310,6187,4129,6974
Redbridge,E09000026,17119,15054,16401,19862,8706,5854,8059,6624,8435
Richmond upon Thames,E09000027,23122,18216,17728,10542,4589,4482,4030,2339,4360
Sutton,E09000029,15292,10210,15044,15890,9527,5907,6183,4725,7513
Waltham Forest,E09000031,13624,12123,15730,16890,9205,6431,7187,6351,10236
Bracknell Forest,E06000036,11916,7594,8917,8803,5923,3910,4196,2896,5855
Brighton and Hove,E06000043,18453,17252,20437,14876,10950,9157,10795,5105,10526
Isle of Wight,E06000046,7831,4848,6845,5921,8040,5279,4373,3706,7640
Medway,E06000035,15748,9826,15376,18293,15186,8273,9655,11169,15734
Milton Keynes,E06000042,17988,12307,14259,16048,10124,5431,9442,8300,14176
Portsmouth,E06000044,10705,8850,13070,11286,10540,6346,7429,6587,12206
Reading,E06000038,10843,11644,10886,10466,6963,3860,6292,4238,8408
Slough,E06000039,7975,5844,7595,9138,5888,3460,5229,5866,7404
Southampton,E06000045,10794,11066,12633,13277,11420,6736,9706,8737,13841
West Berkshire,E06000037,15275,9786,10428,11199,8846,4616,5423,4622,7373
Windsor and Maidenhead,E06000040,16306,9969,10785,9233,5863,3864,4056,2950,5123
Wokingham,E06000041,18179,13280,13128,12063,6622,4181,5254,3181,5391
Aylesbury Vale,E07000004,17279,10028,13175,11581,9685,5475,5231,5208,8570
Chiltern,E07000005,10746,6688,6804,5503,3656,2616,2344,1798,2968
South Bucks,E07000006,7771,4072,4617,4226,2769,1693,1569,1386,2032
Wycombe,E07000007,17242,10393,12256,11269,8688,4851,5212,5032,7011
Eastbourne,E07000061,5216,3530,5035,4577,4640,3422,3329,2196,4768
Hastings,E07000062,4732,3084,4544,4894,4696,3443,2904,2759,4442
Lewes,E07000063,6557,4768,5740,5553,5244,3353,2968,2630,4324
Rother,E07000064,5721,3401,4589,4290,4710,2958,2311,1805,3595
Wealden,E07000065,12392,7359,9388,8290,8519,5068,4274,3254,5970
Basingstoke and Deane,E07000084,14913,10185,11575,12440,8630,4787,5500,5437,9161
East Hampshire,E07000085,10725,7054,8202,6973,6907,4137,3233,2892,4994
Eastleigh,E07000086,9472,6495,8497,9496,7533,3875,4957,4325,5882
Fareham,E07000087,9378,6332,9145,7946,6237,3366,3932,3028,4994
Gosport,E07000088,4157,2571,6678,5115,4875,2934,2931,3054,4980
Hart,E07000089,10026,6832,7656,6366,4129,2561,2736,1869,3324
Havant,E07000090,7411,5114,6515,6975,6799,3968,4540,5106,6583
New Forest,E07000091,12241,7926,10736,10402,10211,5894,5506,5808,8330
Rushmoor,E07000092,7428,4927,8779,7543,5648,3204,3726,3168,5500
Test Valley,E07000093,10233,6832,7992,8381,6445,3326,3867,4030,6031
Winchester,E07000094,10366,9147,8349,6452,5134,3213,3159,2266,5220
Ashford,E07000105,7954,4709,6271,6132,6382,3385,4024,3894,6121
Canterbury,E07000106,8217,7587,7668,6821,6597,4951,4906,3417,6871
Dartford,E07000107,5988,3515,5596,7120,5278,2815,3529,3563,4851
Dover,E07000108,5738,4042,6550,5542,4885,4810,3540,3760,6173
Gravesham,E07000109,5871,3669,5053,6504,5606,3017,4010,4371,5859
Maidstone,E07000110,12095,7577,9871,10274,7900,4395,4868,4666,7825
Sevenoaks,E07000111,10348,6503,7473,7723,5748,3276,3427,2911,4620
Folkestone and Hythe,E07000112,5885,3634,6051,5107,5149,4059,3665,3234,5031
Swale,E07000113,7497,4512,6502,7702,7532,3952,3977,6029,8009
Thanet,E07000114,6545,4478,6010,5921,6283,5431,4127,4030,6372
Tonbridge and Malling,E07000115,9677,5564,7218,7916,5820,3429,3605,3592,6217
Tunbridge Wells,E07000116,9720,6585,8036,6815,5381,3355,3500,2491,4981
Cherwell,E07000177,11903,7266,10137,9323,7923,4270,5315,5971,8132
Oxford,E07000178,7694,14067,9513,6380,4584,3820,3865,2833,7337
South Oxfordshire,E07000179,13879,9567,10295,8271,6974,4095,3628,3622,6407
Vale of White Horse,E07000180,11102,9351,8540,7718,6193,3549,3420,3959,6000
West Oxfordshire,E07000181,8790,5745,8090,6046,6399,3438,3104,3733,5124
Elmbridge,E07000207,15428,9243,9824,7613,4377,3512,3347,1911,3531
Epsom and Ewell,E07000208,6487,4735,5664,5409,2950,2144,2200,1212,2398
Guildford,E07000209,12933,11004,11406,9002,6203,3683,4563,2611,5692
Mole Valley,E07000210,8428,5910,6120,5578,4107,2510,2180,1454,2877
Reigate and Banstead,E07000211,12822,8402,10409,9764,5890,4886,4183,2828,5000
Runnymede,E07000212,7786,4642,5820,5767,3963,2641,2661,1960,3797
Spelthorne,E07000213,8607,4817,7158,8466,4543,2891,3576,2818,4048
Surrey Heath,E07000214,9909,5929,7003,6158,3661,2603,2748,1577,3020
Tandridge,E07000215,8305,4951,6277,5605,4135,2972,2314,1691,2916
Waverley,E07000216,12298,8815,8416,7273,5728,3566,3637,2093,4570
Woking,E07000217,9539,6784,7019,6834,4049,2796,3284,2243,3710
Adur,E07000223,3719,2283,3511,3975,3739,2358,2597,2041,2943
Arun,E07000224,9594,5372,7444,8025,8139,5432,4819,4344,7231
Chichester,E07000225,8509,6009,6689,5606,6371,3800,3223,2436,5353
Crawley,E07000226,7255,4079,6281,7983,4823,4463,5347,4304,6935
Horsham,E07000227,12326,7838,9334,8602,6436,4379,4105,2942,5210
Mid Sussex,E07000228,12609,7985,10067,9476,6346,5275,4581,2985,5420
Worthing,E07000229,6762,4708,6546,7039,4962,3906,3624,2555,4078
Bath and North East Somerset,E06000022,13181,11252,11411,10326,8600,5034,6113,5148,9192
Bournemouth,E06000028,10961,7154,10217,10232,8609,5600,6972,4254,8396
"Bristol, City of",E06000023,22414,24734,25845,25249,17441,10943,15721,12679,22031
Cornwall,E06000052,29126,17409,25909,22666,36246,17025,16960,17878,29770
Isles of Scilly,E06000053,276,73,97,92,267,97,60,73,236
North Somerset,E06000024,15528,9394,12389,12415,9743,6544,7276,6022,9422
Plymouth,E06000026,10800,8425,15075,13152,13533,8230,11886,10128,15066
Poole,E06000029,9537,6487,8801,8929,8472,4642,5348,4931,7070
South Gloucestershire,E06000025,19887,13406,17273,20526,15108,7442,10839,9786,13488
Swindon,E06000030,12692,9407,12187,13887,10144,4846,8802,9172,12816
Torbay,E06000027,8153,3888,6704,5907,7377,4736,4819,5021,6938
Wiltshire,E06000054,35335,23240,33975,27106,26305,14244,15047,17993,24033
East Devon,E07000040,7926,4941,6865,6170,8208,4584,4045,3306,6464
Exeter,E07000041,5984,5770,6955,7327,5408,3999,5536,3582,7073
Mid Devon,E07000042,4402,3003,3753,3719,6012,2469,2257,3106,4126
North Devon,E07000043,5448,3074,4558,4030,6837,3092,3119,3658,5500
South Hams,E07000044,5975,4532,5546,3876,5678,2578,2667,2316,3835
Teignbridge,E07000045,8074,5336,7235,6247,7541,4325,4246,4249,5975
Torridge,E07000046,3063,1889,2366,2439,5629,2252,1727,2522,3635
West Devon,E07000047,3165,2626,2817,2287,3781,1672,1376,1768,2716
Christchurch,E07000048,2839,1814,2492,2534,2318,1420,1595,1189,1942
East Dorset,E07000049,6882,4066,5134,5315,4755,2592,2665,2213,3438
North Dorset,E07000050,3980,2874,4752,3063,4486,1936,1652,2338,3649
Purbeck,E07000051,3032,1883,2752,2539,2945,1578,1392,1630,2582
West Dorset,E07000052,5904,4458,5343,4474,6334,3202,2687,2671,4839
Weymouth and Portland,E07000053,3728,2519,4017,3610,3874,2420,2282,2134,3679
Cheltenham,E07000078,7864,7136,8329,7914,4978,3106,4312,3651,5809
Cotswold,E07000079,7585,4376,5066,4329,5563,2677,2492,2645,4547
Forest of Dean,E07000080,5262,3389,4579,4326,5654,2654,2294,4498,4893
Gloucester,E07000081,6273,4351,7327,8361,6080,3655,4563,5252,6663
Stroud,E07000082,8392,6411,6908,6229,7280,3539,3195,4918,5517
Tewkesbury,E07000083,6246,4122,5356,6059,4408,2185,2516,3291,3920
Mendip,E07000187,7323,5189,5737,5247,7051,3618,3655,4807,6254
Sedgemoor,E07000188,6941,4181,5485,5480,6974,3839,3660,4916,6670
South Somerset,E07000189,9600,7136,8830,7957,11554,5268,5230,6810,8855
Taunton Deane,E07000190,6627,4840,6711,6322,6288,4276,3946,3483,5559
West Somerset,E07000191,2128,1153,1477,1366,2479,1519,1003,970,2298
Isle of Anglesey,W06000001,3104,2687,3223,2872,4330,2337,1676,2608,3330
Gwynedd,W06000002,5942,4911,5377,4810,7891,4105,3428,3749,6698
Conwy,W06000003,6367,4142,5248,4447,6378,4184,3688,3407,5870
Denbighshire,W06000004,4937,3904,4871,4108,5562,3768,2871,3455,4801
Flintshire,W06000005,8657,6302,8500,8209,9433,4526,5570,9371,8884
Wrexham,W06000006,6269,5194,6875,6232,7575,4323,4593,8632,7387
Powys,W06000023,7333,5613,6141,5779,11927,4258,3243,5302,7329
Ceredigion,W06000008,3671,3730,3302,3330,5584,2117,1982,2121,3816
Pembrokeshire,W06000009,5680,4041,5289,4361,8359,3820,3971,3714,5662
Carmarthenshire,W06000010,7572,6872,8129,7873,11232,5534,5185,6637,8524
Swansea,W06000011,10371,10213,12113,12269,9953,6225,8503,7077,11387
Neath Port Talbot,W06000012,4684,4332,5765,6526,6783,4064,4220,6493,7184
Bridgend,W06000013,6327,4710,7249,5705,6713,4170,4392,6548,7051
Vale of Glamorgan,W06000014,7909,6492,8336,7322,5709,3717,3940,3304,5389
Cardiff,W06000015,17497,20154,20795,18909,11067,7824,11687,7548,14789
Rhondda Cynon Taff,W06000016,9279,7592,10945,11175,11103,6693,6744,11586,13268
Merthyr Tydfil,W06000024,1961,1508,2529,2414,2532,1424,1775,2342,3402
Caerphilly,W06000018,7323,5619,7795,8877,8771,4260,5018,9366,10266
Blaenau Gwent,W06000019,2245,1419,2591,2475,3194,2073,1907,4496,4733
Torfaen,W06000020,4088,3124,4326,4518,4661,2626,2973,4992,5544
Monmouthshire,W06000021,6599,5214,5104,4277,4653,2488,2446,2780,4752
Newport,W06000022,7355,5913,7381,7684,5964,3689,4892,5436,8011
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Cells in this dataset have been randomly adjusted to avoid the release,,,,,,,,,
,of confidential data.,,,,,,,,,
